state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,Nicobar,1,1. Female population age 6 years and above who ever attended school (%),78.0,77.2,0.8
Andaman and Nicobar Island,AN,Nicobar,2,2. Population below age 15 years (%),23.0,25.4,-2.4
Andaman and Nicobar Island,AN,Nicobar,3,"3. Sex ratio of the total population (females per 1,000 males)",973.0,957.0,16.0
Andaman and Nicobar Island,AN,Nicobar,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",927.0,1060.0,-133.0
Andaman and Nicobar Island,AN,Nicobar,5,5. Children under age 5 years whose birth was registered with the civil authority (%),98.0,99.3,-1.3
Andaman and Nicobar Island,AN,Nicobar,6,6. Deaths in the last 3 years registered with the civil authority (%),83.2,,
Andaman and Nicobar Island,AN,Nicobar,7,7. Population living in households with electricity (%),97.9,99.6,-1.7
Andaman and Nicobar Island,AN,Nicobar,8,8. Population living in households with an improved drinking-water source1 (%),98.8,99.8,-1.0
Andaman and Nicobar Island,AN,Nicobar,9,9. Population living in households that use an improved sanitation facility2 (%),83.5,85.9,-2.4
Andaman and Nicobar Island,AN,Nicobar,10,10. Households using clean fuel for cooking3 (%),56.9,39.3,17.6
Andaman and Nicobar Island,AN,Nicobar,11,11. Households using iodized salt (%),99.4,99.7,-0.3
Andaman and Nicobar Island,AN,Nicobar,12,12. Households with any usual member covered under a health insurance/financing scheme (%),2.7,4.3,-1.6
Andaman and Nicobar Island,AN,Nicobar,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.5,,
Andaman and Nicobar Island,AN,Nicobar,14,14. Women who are literate4 (%),87.5,,
Andaman and Nicobar Island,AN,Nicobar,15,15. Women with 10 or more years of schooling (%),53.5,43.7,9.8
Andaman and Nicobar Island,AN,Nicobar,16,16. Women age 20-24 years married before age 18 years (%),11.4,8.3,3.1
Andaman and Nicobar Island,AN,Nicobar,17,17. Births in the 5 years preceding the survey that are third or higher order (%),0.0,3.0,-3.0
Andaman and Nicobar Island,AN,Nicobar,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,3.8,-2.0
Andaman and Nicobar Island,AN,Nicobar,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),100.0,96.1,3.9
Andaman and Nicobar Island,AN,Nicobar,20,20. Any method6 (%),65.3,38.0,27.3
Andaman and Nicobar Island,AN,Nicobar,21,21. Any modern method6 (%),57.2,37.8,19.4
Andaman and Nicobar Island,AN,Nicobar,22,22. Female sterilization (%),46.4,35.6,10.8
Andaman and Nicobar Island,AN,Nicobar,23,23. Male sterilization (%),0.0,0.0,0.0
Andaman and Nicobar Island,AN,Nicobar,24,24. IUD/PPIUD (%),2.7,0.0,2.7
Andaman and Nicobar Island,AN,Nicobar,25,25. Pill (%),2.0,1.1,0.9
Andaman and Nicobar Island,AN,Nicobar,26,26. Condom (%),4.9,1.2,3.7
Andaman and Nicobar Island,AN,Nicobar,27,27. Injectables (%),1.2,0.0,1.2
Andaman and Nicobar Island,AN,Nicobar,28,28. Total unmet need7 (%),9.5,18.0,-8.5
Andaman and Nicobar Island,AN,Nicobar,29,29. Unmet need for spacing7 (%),3.3,14.2,-10.9
Andaman and Nicobar Island,AN,Nicobar,30,30. Health worker ever talked to female non-users about family planning (%),40.4,48.1,-7.7
Andaman and Nicobar Island,AN,Nicobar,31,31. Current users ever told about side effects of current method8 (%),49.4,87.6,-38.2
Andaman and Nicobar Island,AN,Nicobar,32,32. Mothers who had an antenatal check-up in the first trimester (%),62.8,62.0,0.8
Andaman and Nicobar Island,AN,Nicobar,33,33. Mothers who had at least 4 antenatal care visits (%),71.7,64.9,6.8
